t,x(t),dx/dt,dx/dt,integral(x),integral(x)
[0.000272, 3.99999, -0.046784, 0, 5.00109, 5]
[0.011804, 3.98802, -2.02799, -1.03984, 5.04717, 5.04598]
[0.021803, 3.9592, -3.73562, -1.89663, 5.08692, 5.08582]
[0.031803, 3.91337, -5.42517, -3.73285, 5.12629, 5.12538]
[0.041803, 3.85078, -7.08823, -5.42103, 5.16513, 5.16449]
[0.05297, 3.76144, -8.90409, -7.17773, 5.20765, 5.20744]
[0.062998, 3.66417, -10.4888, -8.80465, 5.24489, 5.24515]
[0.072997, 3.5516, -12.0177, -10.4775, 5.28098, 5.28176]
[0.082997, 3.42402, -13.4881, -12.0086, 5.31587, 5.31725]
[0.094118, 3.26528, -15.0456, -13.5576, 5.35308, 5.35527]
[0.104117, 3.10816, -16.3687, -14.9549, 5.38496, 5.38792]
[0.114117, 2.93818, -17.612, -16.3546, 5.4152, 5.41898]
[0.124118, 2.75619, -18.7694, -17.5977, 5.44369, 5.44835]
[0.134119, 2.56306, -19.8352, -18.7541, 5.47029, 5.47589]
[0.144119, 2.35979, -20.804, -19.819, 5.49492, 5.50151]
[0.154121, 2.14728, -21.6714, -20.7871, 5.51746, 5.5251]
[0.164262, 1.92351, -22.4428, -21.6581, 5.53811, 5.54686]
[0.174263, 1.69571, -23.0933, -22.4194, 5.55621, 5.56608]
[0.184263, 1.46199, -23.631, -23.0745, 5.57201, 5.58303]
[0.194263, 1.22347, -24.0534, -23.6094, 5.58544, 5.59765]
[0.204347, 0.979271, -24.3605, -24.0352, 5.59655, 5.60997]
[0.214348, 0.734616, -24.5457, -24.3407, 5.60512, 5.61977]
[0.225959, 0.449082, -24.6106, -24.531, 5.61199, 5.62822]
[0.246504, -0.0545167, -24.3293, -24.5408, 5.61603, 5.6367]
[0.264566, -0.488562, -23.6687, -24.2875, 5.61111, 5.63592]
[0.274565, -0.722679, -23.1404, -23.8111, 5.60505, 5.63137]
[0.284566, -0.950994, -22.4994, -23.1216, 5.59668, 5.62415]
[0.294567, -1.17235, -21.7488, -22.4811, 5.58605, 5.61465]
[0.304568, -1.38566, -20.8923, -21.7311, 5.57325, 5.60294]
[0.314568, -1.58988, -19.9343, -20.8754, 5.55837, 5.5891]
[0.324569, -1.78404, -18.8793, -19.9181, 5.54149, 5.57322]
[0.33457, -1.9672, -17.7326, -18.8641, 5.52272, 5.55539]
[0.34457, -2.13843, -16.4999, -17.7183, 5.50218, 5.53574]
[0.354571, -2.29694, -15.1871, -16.4709, 5.47999, 5.51433]
[0.364572, -2.44195, -13.8007, -15.1749, 5.45628, 5.49143]
[0.377777, -2.61156, -11.8691, -13.5687, 5.42289, 5.45913]
[0.388957, -2.73474, -10.155, -12.0066, 5.39299, 5.43002]
[0.400309, -2.83984, -8.35211, -10.1312, 5.36133, 5.39901]
[0.411978, -2.92622, -6.44532, -8.31775, 5.32766, 5.36591]
[0.421979, -2.98236, -4.77743, -6.57701, 5.2981, 5.33669]
[0.43198, -3.0217, -3.08713, -4.77369, 5.26807, 5.30689]
